JT,IF,ISSN
WOOD SCI TECHNOL,2.506,0043-7719
ANTI-CANCER AGENT ME,2.505,1871-5206
BIOPOLYMERS,2.505,0006-3525
PEDIATR RADIOL,2.505,0301-0449
PSYCHIAT INVEST,2.505,1738-3684
EUR ARCH OTO-RHINO-L,2.503,0937-4477
INT J CLIN PRACT,2.503,1368-5031
J GLAUCOMA,2.503,1057-0829
MAG CONCRETE RES,2.503,0024-9831
J CLIN MONIT COMPUT,2.502,1387-1307
IEEE T INFORM THEORY,2.501,0018-9448
AIDS REV,2.5,1139-6121
ALGAE-SEOUL,2.5,1226-2617
AM J HOSP PALLIAT ME,2.5,1049-9091
ARCT ANTARCT ALP RES,2.5,1523-0430
ARCT SCI,2.5,****-****
CHILD NEUROPSYCHOL,2.5,0929-7049
INT J STEM CELLS,2.5,2005-3606
J ARTIF INTELL SOFT,2.5,2083-2567
ORGANOGENESIS,2.5,1547-6278
PSYCHOMETRIKA,2.5,0033-3123
RES Q EXERCISE SPORT,2.5,0270-1367
BMC FAM PRACT,2.497,****-****
EUR J CANCER PREV,2.497,0959-8278
MATCH-COMMUN MATH CO,2.497,0340-6253
IET INTELL TRANSP SY,2.496,1751-956X
J POROUS MAT,2.496,1380-2224
CARDIOVASC ENG TECHN,2.495,1869-408X
INORG CHEM COMMUN,2.495,1387-7003
MINI-REV ORG CHEM,2.495,1570-193X
CHEM ENG COMMUN,2.494,0098-6445
AM J CLIN PATHOL,2.493,0002-9173
NEUROIMMUNOMODULAT,2.492,1021-7401
J INEQUAL APPL,2.491,1029-242X
MED INTENSIVA,2.491,0210-5691
SEX MED-UK,2.491,2050-1161
EPISODES,2.49,0705-3797
INT J HEMATOL,2.49,0925-5710
CLIN COSMET INV DERM,2.489,1178-7015
GEOL J,2.489,0072-1050
OPTO-ELECTRON REV,2.489,1230-3402
J TROP MED-US,2.488,1687-9686
TRANSL PEDIATR,2.488,2224-4344
BIOCHEMISTRY-MOSCOW+,2.487,0006-2979
COMPUT STAND INTER,2.487,0920-5489
CRYOBIOLOGY,2.487,0011-2240
GENESIS,2.487,1526-954X
IEEE T HAPTICS,2.487,1939-1412
METEORIT PLANET SCI,2.487,1086-9379
PHYS SCRIPTA,2.487,0031-8949
CLIN TRIALS,2.486,1740-7745
J NEUROIMAGING,2.486,1051-2284
SAUDI J GASTROENTERO,2.485,1319-3767
IEEE J ELECTRON DEVI,2.484,2168-6734
INT J SPEECH-LANG PA,2.484,1754-9507
BMC PHARMACOL TOXICO,2.483,****-****
HEALTH PROMOT INT,2.483,0957-4824
INT J CONCR STRUCT M,2.483,1976-0485
J R STAT SOC A STAT,2.483,0964-1998
CELLS TISSUES ORGANS,2.481,1422-6405
ANTICANCER RES,2.48,0250-7005
CURR APPL PHYS,2.48,1567-1739
EXP FLUIDS,2.48,0723-4864
J GREAT LAKES RES,2.48,0380-1330
PROTEOME SCI,2.48,****-****
ACTA HISTOCHEM,2.479,0065-1281
CELL J,2.479,2228-5806
INT J ENVIRON RES,2.479,1735-6865
INT MICROBIOL,2.479,1139-6709
J HISTOCHEM CYTOCHEM,2.479,0022-1554
NEW MICROBIOL,2.479,1121-7138
ANN ENDOCRINOL-PARIS,2.478,0003-4266
J EXP PSYCHOL-ANIM L,2.478,2329-8456
J MATER SCI-MATER EL,2.478,0957-4522
ACTA ASTRONOM,2.477,0001-5237
INT J DENT HYG,2.477,1601-5029
BRAZ J MICROBIOL,2.476,1517-8382
J CLIN EXP NEUROPSYC,2.475,1380-3395
SEP SCI TECHNOL,2.475,0149-6395
BMC NEUROL,2.474,****-****
J SUPERCOMPUT,2.474,0920-8542
ANN ACAD MED SINGAP,2.473,0304-4602
AQUAT BOT,2.473,0304-3770
INT HEALTH,2.473,1876-3413
INT J NAV ARCH OCEAN,2.473,2092-6782
J MED MICROBIOL,2.472,0022-2615
ORTHOP CLIN N AM,2.472,0030-5898
CAN J INFECT DIS MED,2.471,1712-9532
FOOD SCI ANIM RESOUR,2.471,2636-0772
JOM-US,2.471,1047-4838
LAB ANIM-UK,2.471,0023-6772
MAGN RESON MED SCI,2.471,1347-3182
REV CHIL HIST NAT,2.471,0716-078X
J HYDRO-ENVIRON RES,2.47,1570-6443
METALL MATER TRANS B,2.47,1073-5615
WIND STRUCT,2.47,1226-6116
AM J EMERG MED,2.469,0735-6757
J WILDLIFE MANAGE,2.469,0022-541X
APPL NUMER MATH,2.468,0168-9274
COGN NEUROPSYCHOL,2.468,0264-3294
IEEE PHOTONIC TECH L,2.468,1041-1135
J QUANT SPECTROSC RA,2.468,0022-4073
J EXP ANAL BEHAV,2.468,0022-5002
AM J RHINOL ALLERGY,2.467,1945-8924
CRYSTALLOGR REV,2.467,0889-311X
FINANC STOCH,2.467,0949-2984
J CHEMOMETR,2.467,0886-9383
INT J GEN MED,2.466,****-****
TISSUE CELL,2.466,0040-8166
DIVERSITY-BASEL,2.465,****-****
ECOL ENTOMOL,2.465,0307-6946
HEAT MASS TRANSFER,2.464,0947-7411
J MATH PURE APPL,2.464,0021-7824
LUMINESCENCE,2.464,1522-7235
PHILOS ETHICS HUM ME,2.464,1747-5341
BMC MED EDUC,2.463,****-****
MATH COMPUT SIMULAT,2.463,0378-4754
ANN GLOB HEALTH,2.462,2214-9996
GEOTECH LETT,2.462,2049-825X
BIOTECHNOL LETT,2.461,0141-5492
INDIAN J MICROBIOL,2.461,0046-8991
INT J MOD PHYS D,2.461,0218-2718
LEARN MEMORY,2.46,1072-0502
EXP LUNG RES,2.459,0190-2148
INT J GREEN ENERGY,2.459,1543-5075
POPUL HEALTH MANAG,2.459,1942-7891
PRIM CARE DIABETES,2.459,1751-9918
VET RES COMMUN,2.459,0165-7380
J MAR SCI ENG,2.458,****-****
LARYNGOSCOPE INVEST,2.458,2378-8038
PLASMA PHYS CONTR F,2.458,0741-3335
PSYCHIAT GENET,2.458,0955-8829
PSYCHIATRY,2.458,0033-2747
INT J DEV NEUROSCI,2.457,0736-5748
J CARDIOVASC PHARM T,2.457,1074-2484
TETRAHEDRON,2.457,0040-4020
BIOINTERPHASES,2.456,1934-8630
EURASIP J WIREL COMM,2.455,1687-1472
INT J IND ENG COMP,2.455,1923-2926
INT J LOW-CARBON TEC,2.455,1748-1317
J PLANKTON RES,2.455,0142-7873
PEPTIDE SCI,2.455,2475-8817
IMPLANT DENT,2.454,1056-6163
INT J RHEUM DIS,2.454,1756-1841
SYNLETT,2.454,0936-5214
GLOB HEALTH-SCI PRAC,2.453,2169-575X
PROG BRAIN RES,2.453,0079-6123
PURE APPL CHEM,2.453,0033-4545
WEST J EMERG MED,2.453,1936-900X
ANN PROBAB,2.452,0091-1798
GEOL MAG,2.452,0016-7568
ROFO-FORTSCHR RONTG,2.452,1438-9029
EPIDEMIOL INFECT,2.451,0950-2688
J FOOD QUALITY,2.45,0146-9428
APPL ANIM BEHAV SCI,2.448,0168-1591
CHIN OPT LETT,2.448,1671-7694
CLIN PHARM DRUG DEV,2.448,2160-7648
J MED ECON,2.448,1369-6998
NEUROL RES,2.448,0161-6412
EXP THER MED,2.447,1792-0981
JPN J OPHTHALMOL,2.447,0021-5155
MAGN RESON CHEM,2.447,0749-1581
COMPLEMENT THER CLIN,2.446,1744-3881
COMPLEMENT THER MED,2.446,0965-2299
J TERRAMECHANICS,2.446,0022-4898
BIOMETRIKA,2.445,0006-3444
CHRON RESP DIS,2.444,1479-9723
INT J QUANTUM CHEM,2.444,0020-7608
HEAT TRANSF RES,2.443,1064-2285
IEEE PHOTONICS J,2.443,1943-0655
OPTIK,2.443,0030-4026
RIVER RES APPL,2.443,1535-1459
CAN J PLANT PATHOL,2.442,0706-0661
MINIM INVASIV THER,2.442,1364-5706
EUR J DRUG METAB PH,2.441,0378-7966
J OTOLARYNGOL-HEAD N,2.441,1916-0216
OPER DENT,2.44,0361-7734
PSYCHOGERIATRICS,2.44,1346-3500
INFORM HEALTH SOC CA,2.439,1753-8157
J THERM SCI,2.438,1003-2169
CHIRALITY,2.437,0899-0042
PHYSICA B,2.436,0921-4526
SOILS FOUND,2.436,0038-0806
EUR J OBSTET GYN R B,2.435,0301-2115
FIXED POINT THEOR-RO,2.435,1583-5022
J VESTIBUL RES-EQUIL,2.435,0957-4271
J PLANT BIOL,2.434,1226-9239
MUTAT RES-FUND MOL M,2.433,1386-1964
PHOTONIC SENS,2.433,1674-9251
THEOR BIOL MED MODEL,2.432,****-****
ANN GLACIOL,2.431,0260-3055
BEST PRAC RES-CL ANA,2.431,1521-6896
BIOTECHNOL APPL BIOC,2.431,0885-4513
BREAST J,2.431,1075-122X
ENVIRON PROG SUSTAIN,2.431,1944-7442
J EVAL CLIN PRACT,2.431,1356-1294
J FOOD MEAS CHARACT,2.431,2193-4126
J DIFFER EQUATIONS,2.43,0022-0396
MEDICINA-LITHUANIA,2.43,1010-660X
SOFT MATER,2.429,1539-445X
MACHINES,2.428,****-****
POLYM ENG SCI,2.428,0032-3888
J VAC SCI TECHNOL A,2.427,0734-2101
OCEANOLOGIA,2.427,0078-3234
PUBLIC HEALTH,2.427,0033-3506
J PLANT NUTR SOIL SC,2.426,1436-8730
DISCRETE CONT DYN-S,2.425,1937-1632
MICROSURG,2.425,0738-1085
CURR EYE RES,2.424,0271-3683
WEED RES,2.424,0043-1737
PSYCHOL HEALTH MED,2.423,1354-8506
SCAND J GASTROENTERO,2.423,0036-5521
THER CLIN RISK MANAG,2.423,****-****
BIOL OPEN,2.422,2046-6390
FISH RES,2.422,0165-7836
INT J HYPERTENS,2.42,2090-0384
CAN J MICROBIOL,2.419,0008-4166
DENTOMAXILLOFAC RAD,2.419,0250-832X
HYDROL RES,2.419,1998-9563
J ADV TRANSPORT,2.419,0197-6729
RAPID COMMUN MASS SP,2.419,0951-4198
J MICROELECTROMECH S,2.417,1057-7157
MATH COMPUT,2.417,0025-5718
NAT CONSERV-BULGARIA,2.417,1314-6947
IN VITRO CELL DEV-AN,2.416,1071-2690
J MAMMAL,2.416,0022-2372
ATMOS SCI LETT,2.415,1530-261X
EUR TRANSP RES REV,2.415,1867-0717
MAR MICROPALEONTOL,2.415,0377-8398
TETRAHEDRON LETT,2.415,0040-4039
CLIN ANAT,2.414,0897-3806
ENERG J,2.414,0195-6574
TEACH LEARN MED,2.414,1040-1334
ACTA ASTRONAUT,2.413,0094-5765
COMPUTAT GEOSCI,2.413,1420-0597
CLIN MED INSIGHTS-ON,2.412,****-****
PHYS REV PHYS EDUC R,2.412,2469-9896
J EVOLUTION BIOL,2.411,1010-061X
J INFRASTRUCT SYST,2.411,1076-0342
AEROBIOLOGIA,2.41,0393-5965
CAN J EMERG MED,2.41,1481-8035
OPER RES-GER,2.41,1109-2858
SYST BIODIVERS,2.41,1477-2000
CAN RESPIR J,2.409,1198-2241
CHRONIC ILLN,2.409,1742-3953
COPD,2.409,1541-2555
AM J SPEECH-LANG PAT,2.408,1058-0360
CHEM BIODIVERS,2.408,1612-1872
NUCL MED BIOL,2.408,0969-8051
Z PHYS CHEM,2.408,0942-9352
FIRE MATER,2.407,0308-0501
INVERSE PROBL,2.407,0266-5611
3 BIOTECH,2.406,2190-572X
RESTOR NEUROL NEUROS,2.406,0922-6028
ALCOHOL,2.405,0741-8329
DIGEST DIS,2.404,0257-2753
J MULTIDISCIP HEALTH,2.404,1178-2390
PLASMONICS,2.404,1557-1955
DUKE MATH J,2.403,0012-7094
J DEV ORIG HLTH DIS,2.401,2040-1744
POSTGRAD MED J,2.401,0032-5473
ANN HEPATOL,2.4,1665-2681
BIOSCI TRENDS,2.4,1881-7815
CORROS REV,2.4,0334-6005
INJURY PREV,2.399,1353-8047
EUR J ONCOL NURS,2.398,1462-3889
J MATERN-FETAL NEO M,2.398,1476-7058
ELECTRONICS-SWITZ,2.397,****-****
ACTA NEUROL BELG,2.396,0300-9009
HUM GENE THER METHOD,2.396,1946-6536
EUR J CONTROL,2.395,0947-3580
EXTREMOPHILES,2.395,1431-0651
FORENSIC SCI INT,2.395,0379-0738
J MOL EVOL,2.395,0022-2844
HOLZFORSCHUNG,2.393,0018-3830
NURS INQ,2.393,1320-7881
SURG-J R COLL SURG E,2.392,1479-666X
CLIN SIMUL NURS,2.391,1876-1399
CONT SHELF RES,2.391,0278-4343
FOOD SCI BIOTECHNOL,2.391,1226-7708
J MYCOL MED,2.391,1156-5233
J PHYS ORG CHEM,2.391,0894-3230
PHYSIOL MOL BIOL PLA,2.391,0971-5894
PROBAB THEORY REL,2.391,0178-8051
J NEUROSCI METH,2.39,0165-0270
ADV POLYM TECH,2.389,0730-6679
CLIN APPL THROMB-HEM,2.389,1076-0296
SOIL SCI PLANT NUTR,2.389,0038-0768
APPL SPECTROSC,2.388,0003-7028
BMC NEPHROL,2.388,****-****
J ECONOMETRICS,2.388,0304-4076
J MIDWIFERY WOM HEAL,2.388,1526-9523
COMMUN MATH PHYS,2.386,0010-3616
PSYCHOSOMATICS,2.386,0033-3182
FISHES-BASEL,2.385,****-****
J AM PSYCHIAT NURSES,2.385,1078-3903
MATH ENG-US,2.385,****-****
INT J IMPLANT DENT,2.384,****-****
J SOL ENERG-T ASME,2.384,0199-6231
UPSALA J MED SCI,2.384,0300-9734
BOL SOC ESP CERAM V,2.383,0366-3175
J COAT TECHNOL RES,2.382,1547-0091
BRAIN LANG,2.381,0093-934X
J ECON ENTOMOL,2.381,0022-0493
NURS RES,2.381,0029-6562
FRONT COMPUT NEUROSC,2.38,****-****
J ANIM BREED GENET,2.38,0931-2668
NETH HEART J,2.38,1568-5888
DOC OPHTHALMOL,2.379,0012-4486
AM J MED SCI,2.378,0002-9629
ENVIRON ENTOMOL,2.377,0046-225X
J HYDROINFORM,2.376,1464-7141
PSYCHIAT RES-NEUROIM,2.376,0925-4927
REPROD BIOL,2.376,1642-431X
CLIN HEMORHEOL MICRO,2.375,1386-0291
FAM CANCER,2.375,1389-9600
INDIAN J MED RES,2.375,0971-5916
J NEUROSURG-PEDIATR,2.375,1933-0707
VEG HIST ARCHAEOBOT,2.375,0939-6314
INT J FRACTURE,2.374,0376-9429
JPN J RADIOL,2.374,1867-1071
CLIN COLON RECT SURG,2.373,1531-0043
IET IMAGE PROCESS,2.373,1751-9659
INT J TUBERC LUNG D,2.373,1027-3719
SIAM J SCI COMPUT,2.373,1064-8275
STAT MED,2.373,0277-6715
COGN TECHNOL WORK,2.372,1435-5558
GROWTH HORM IGF RES,2.372,1096-6374
J PERFORM CONSTR FAC,2.372,0887-3828
J PETROL GEOL,2.372,0141-6421
MIDWIFERY,2.372,0266-6138
AM J PRIMATOL,2.371,0275-2565
POLYM-PLAST TECH MAT,2.371,2574-0881
PROTEIN J,2.371,1572-3887
WATER RESOUR ECON,2.371,2212-4284
FRONT STRUCT CIV ENG,2.37,2095-2430
INT UROL NEPHROL,2.37,0301-1623
J ORGANOMET CHEM,2.369,0022-328X
INTEGR MED RES,2.368,2213-4220
J ELECTROMYOGR KINES,2.368,1050-6411
MOL VIS,2.367,1090-0535
CLINICS,2.365,1807-5932
MOL CELL PROBE,2.365,0890-8508
PHYS THER SPORT,2.365,1466-853X
SKIN RES TECHNOL,2.365,0909-752X
EARTH PLANETS SPACE,2.363,****-****
J MICROBIOL METH,2.363,0167-7012
BMC MUSCULOSKEL DIS,2.362,****-****
BRACHYTHERAPY,2.362,1538-4721
GERIATR NURS,2.361,0197-4572
PAP PALAEONTOL,2.361,2056-2799
OPTIMIZATION,2.36,0233-1934
PHYS OCCUP THER PEDI,2.36,0194-2638
SCAND J SURG,2.36,1457-4969
J ADHES DENT,2.359,1461-5185
J ORTHOP SURG RES,2.359,1749-799X
P I MECH ENG F-J RAI,2.359,0954-4097
J REAL-TIME IMAGE PR,2.358,1861-8200
INT J CARDIOVAS IMAG,2.357,1569-5794
J MATH CHEM,2.357,0259-9791
THER ADV UROL,2.357,1756-2872
J FOOD PROCESS ENG,2.356,0145-8876
PARTICUL SCI TECHNOL,2.356,0272-6351
EUR J DENT EDUC,2.355,1396-5883
ACTA PHYSIOL PLANT,2.354,0137-5881
ARTHROPOD SYST PHYLO,2.354,1863-7221
J INSECT PHYSIOL,2.354,0022-1910
BIOPHYS CHEM,2.352,0301-4622
J BERRY RES,2.352,1878-5093
J CLIN LAB ANAL,2.352,0887-8013
SEMICOND SCI TECH,2.352,0268-1242
ACM T COMPUT-HUM INT,2.351,1073-0516
J MICROBIOL BIOTECHN,2.351,1017-7825
METALS-BASEL,2.351,****-****
CLIN RADIOL,2.35,0009-9260
ENDOCR J,2.349,0918-8959
QUANTUM INF PROCESS,2.349,1570-0755
CHEM PHYS,2.348,0301-0104
ADV SKIN WOUND CARE,2.347,1527-7941
J SUSTAIN METALL,2.347,2199-3823
OBSTET GYNECOL SURV,2.347,0029-7828
J ENERG MATER,2.346,0737-0652
Q J NUCL MED MOL IM,2.346,1824-4785
AM J TROP MED HYG,2.345,0002-9637
CENT EUR J OPER RES,2.345,1435-246X
J GEODYN,2.345,0264-3707
TEST-SPAIN,2.345,1133-0686
ARCH GYNECOL OBSTET,2.344,0932-0067
BIRTH DEFECTS RES,2.344,2472-1727
PALYNOLOGY,2.344,0191-6122
STRUCT DES TALL SPEC,2.344,1541-7794
J NAT MED-TOKYO,2.343,1340-3443
APPL CLIN INFORM,2.342,1869-0327
IEEE INTERNET COMPUT,2.341,1089-7801
J PUBLIC HEALTH-UK,2.341,1741-3842
MATH MECH SOLIDS,2.341,1081-2865
NUCL ENG TECHNOL,2.341,1738-5733
ARCH CARDIOVASC DIS,2.34,1875-2136
J EXP THEOR ARTIF IN,2.34,0952-813X
AM J CLIN ONCOL-CANC,2.339,0277-3732
J INTERPROF CARE,2.338,1356-1820
TAXON,2.338,0040-0262
WIREL COMMUN MOB COM,2.336,1530-8669
OCEANOGRAPHY,2.335,1042-8275
PURE APPL GEOPHYS,2.335,0033-4553
ARAB J SCI ENG,2.334,2193-567X
EDUC CHEM ENG,2.333,****-****
ENVIRON MODEL ASSESS,2.333,1420-2026
IETE J RES,2.333,0377-2063
J PHYS-CONDENS MAT,2.333,0953-8984
NUTR DIET,2.333,1446-6368
PEDIATR EXERC SCI,2.333,0899-8493
VIRUS GENES,2.332,0920-8569
ACTA ODONTOL SCAND,2.331,0001-6357
HORTICULTURAE,2.331,****-****
LANG COGN NEUROSCI,2.331,2327-3798
COMPUT INTELL-US,2.33,0824-7935
ANAL LETT,2.329,0003-2719
CHEM PHYS LETT,2.328,0009-2614
NEUROPSYCHOBIOLOGY,2.328,0302-282X
ANDEAN GEOL,2.327,0718-7106
J AVIAN BIOL,2.327,0908-8857
J MED VIROL,2.327,0146-6615
J PHARM PHARM SCI,2.327,1482-1826
AESTHET PLAST SURG,2.326,0364-216X
INT J GENOMICS,2.326,2314-436X
J SOL-GEL SCI TECHN,2.326,0928-0707
J DIGEST DIS,2.325,1751-2972
NURS CRIT CARE,2.325,1362-1017
ONLINE INFORM REV,2.325,1468-4527
J PEDIATR ORTHOPED,2.324,0271-6798
PETROL GEOSCI,2.323,1354-0793
J ZOOL,2.322,0952-8369
CELL MOL BIOENG,2.321,1865-5025
CLEV CLIN J MED,2.321,0891-1150
MATH METHOD APPL SCI,2.321,0170-4214
COMP BIOCHEM PHYS A,2.32,1095-6433
NUCL MATER ENERGY,2.32,****-****
ACTA CYTOL,2.319,0001-5547
CROP SCI,2.319,0011-183X
EXP ANIM TOKYO,2.319,1341-1357
MEDITERR MAR SCI,2.319,1108-393X
ADSORPTION,2.318,0929-5607
APIDOLOGIE,2.318,0044-8435
IEEE J QUANTUM ELECT,2.318,0018-9197
INT AGROPHYS,2.317,0236-8722
MOL BIOL REP,2.316,0301-4851
SIAM J APPL DYN SYST,2.316,1536-0040
J SCI EDUC TECHNOL,2.315,1059-0145
SEMIN ONCOL NURS,2.315,0749-2081
S AFR J BOT,2.315,0254-6299
SEMIN PLAST SURG,2.314,1535-2188
TELECOMMUN SYST,2.314,1018-4864
BIOCHEM MEDICA,2.313,1330-0962
IEEE T VLSI SYST,2.312,1063-8210
BRAIN INJURY,2.311,0269-9052
OTOL NEUROTOL,2.311,1531-7129
P I MECH ENG L-J MAT,2.311,1464-4207
REPROD FERT DEVELOP,2.311,1031-3613
ASIAN PAC J ALLERGY,2.31,0125-877X
BRAIN COGNITION,2.31,0278-2626
MAGN RESON MATER PHY,2.31,0968-5243
OPT COMMUN,2.31,0030-4018
POLAR BIOL,2.31,0722-4060
ARCH ENDOCRIN METAB,2.309,2359-3997
CURR OPIN UROL,2.309,0963-0643
INFORM SYST,2.309,0306-4379
MED MOL MORPHOL,2.309,1860-1480
DEV NEUROREHABIL,2.308,1751-8423
GEOMICROBIOL J,2.308,0149-0451
IAWA J,2.308,0928-1541
SOIL SCI SOC AM J,2.307,0361-5995
FLOW TURBUL COMBUST,2.305,1386-6184
OENO ONE,2.305,****-****
MEAS PHYS EDUC EXERC,2.304,1091-367X
VET SCI,2.304,****-****
HISTOL HISTOPATHOL,2.303,0213-3911
J FOOT ANKLE RES,2.303,****-****
J IMMUNOL METHODS,2.303,0022-1759
RADIOL CLIN N AM,2.303,0033-8389
CURR OPIN SUPPORT PA,2.302,1751-4258
J COMPUT GRAPH STAT,2.302,1061-8600
BIOPRESERV BIOBANK,2.3,1947-5535
ITAL J AGRON,2.3,1125-4718
J THROMB THROMBOLYS,2.3,0929-5305
PHYSICA D,2.3,0167-2789
ACTA PAEDIATR,2.299,0803-5253
INLAND WATERS,2.299,2044-2041
J ARID LAND,2.299,1674-6767
BMC CARDIOVASC DISOR,2.298,1471-2261
PM&R,2.298,1934-1482
J SPEECH LANG HEAR R,2.297,1092-4388
TREE GENET GENOMES,2.297,1614-2942
DEV WORLD BIOETH,2.294,1471-8731
BEHAV PHARMACOL,2.293,0955-8810
INFORM RETRIEVAL J,2.293,1386-4564
INT J COMPUT COMMUN,2.293,1841-9836
SOLID STATE NUCL MAG,2.293,0926-2040
GEOCHEMISTRY-GERMANY,2.292,0009-2819
INT J NEUROSCI,2.292,0020-7454
AUST DENT J,2.291,0045-0421
ACTA CRYSTALLOGR A,2.29,2053-2733
DOMEST ANIM ENDOCRIN,2.29,0739-7240
PARASITOL RES,2.289,0932-0113
ADV PHYSIOL EDUC,2.288,1043-4046
J COMMUN DISORD,2.288,0021-9924
J ZOOL SYST EVOL RES,2.288,0947-5745
OBES RES CLIN PRACT,2.288,1871-403X
BIRD CONSERV INT,2.287,0959-2709
CROP PASTURE SCI,2.286,1836-0947
MULTISENS RES,2.286,2213-4794
PROSTATE INT,2.286,2287-8882
BMC NURS,2.283,1472-6955
J VASC ACCESS,2.283,1129-7298
ANIM BIOTECHNOL,2.282,1049-5398
INT J SYST SCI,2.281,0020-7721
J BASIC MICROB,2.281,0233-111X
NURSE EDUC PRACT,2.281,1471-5953
PARASITE IMMUNOL,2.28,0141-9838
J INTERV CARDIOL,2.279,0896-4327
J NEUROSURG SCI,2.279,0390-5616
PHYSIOTHER THEOR PR,2.279,0959-3985
TRIALS,2.279,****-****
J MED ENTOMOL,2.278,0022-2585
UNIVERSE-BASEL,2.278,****-****
INFORMS J COMPUT,2.276,1091-9856
MICROSYST TECHNOL,2.276,0946-7076
CAN J PHYSIOL PHARM,2.273,0008-4212
CLIN PHYSIOL FUNCT I,2.273,1475-0961
REQUIR ENG,2.273,0947-3602
TOXICOL IND HEALTH,2.273,0748-2337
ANTON LEEUW INT J G,2.271,0003-6072
COMPUT LINGUIST,2.271,0891-2017
HEMATOLOGY,2.269,1024-5332
J ENVIRON SCI HEAL A,2.269,1093-4529
ACTA PHYS-CHIM SIN,2.268,1000-6818
COMP IMMUNOL MICROB,2.268,0147-9571
IET ELECTR SYST TRAN,2.268,2042-9738
SYMBIOSIS,2.268,0334-5114
ACUPUNCT MED,2.267,0964-5284
FAM PRACT,2.267,0263-2136
SIAM J CONTROL OPTIM,2.267,0363-0129
ACTA CRYSTALLOGR B,2.266,****-****
MAGN RESON IMAGING C,2.266,1064-9689
WORLD J EMERG MED,2.266,1920-8642
J HEALTH POLIT POLIC,2.265,0361-6878
BMC UROL,2.264,1471-2490
EMERG MED CLIN N AM,2.264,0733-8627
INT J PRIMATOL,2.264,0164-0291
J DENT EDUC,2.264,0022-0337
NEUROIMAG CLIN N AM,2.264,1052-5149
J ZHEJIANG UNIV-SC A,2.263,1673-565X
BRAIN CONNECT,2.262,2158-0014
J DISPER SCI TECHNOL,2.262,0193-2691
J INSECT CONSERV,2.262,1366-638X
PHYS EARTH PLANET IN,2.261,0031-9201
GASTROENT RES PRACT,2.26,1687-6121
GYNECOL ENDOCRINOL,2.26,0951-3590
HIST BIOL,2.259,0891-2963
J MATH BIOL,2.259,0303-6812
MATHEMATICS-BASEL,2.258,****-****
MECCANICA,2.258,0025-6455
RESP CARE,2.258,0020-1324
APPL NURS RES,2.257,0897-1897
INT J CHEM ENG,2.257,1687-806X
VIRAL IMMUNOL,2.257,0882-8245
ORTHOP TRAUMATOL-SUR,2.256,1877-0568
PROG NUCL ENERG,2.256,0149-1970
CYTA-J FOOD,2.255,1947-6337
MACH SCI TECHNOL,2.255,1091-0344
J NERV MENT DIS,2.254,0022-3018
MECH RES COMMUN,2.254,0093-6413
ACM T SENSOR NETWORK,2.253,1550-4859
AM J ENOL VITICULT,2.253,0002-9254
DEV NEUROPSYCHOL,2.253,8756-5641
J NANOPART RES,2.253,1388-0764
PAED CHILD HEALT-CAN,2.253,1205-7088
IN VITRO CELL DEV-PL,2.252,1054-5476
MICRON,2.251,0968-4328
AIDS RES THER,2.25,1742-6405
ENTOMOL EXP APPL,2.25,0013-8703
EVODEVO,2.25,****-****
FUEL CELLS,2.25,1615-6846
J PALLIAT CARE,2.25,0825-8597
P I CIVIL ENG-MAR EN,2.25,1741-7597
SEED SCI RES,2.25,0960-2585
SPE RESERV EVAL ENG,2.25,1094-6470
J OPTIMIZ THEORY APP,2.249,0022-3239
ANTI-CANCER DRUG,2.248,0959-4973
APPL NEUROPSYCH-ADUL,2.248,2327-9095
CAN ASSOC RADIOL J,2.248,0846-5371
MODEL SIMUL MATER SC,2.248,0965-0393
J COSMET LASER THER,2.247,1476-4172
LETHAIA,2.247,0024-1164
PHYSIOL BIOCHEM ZOOL,2.247,1522-2152
PLANT SIGNAL BEHAV,2.247,1559-2316
INTEL SERV ROBOT,2.246,1861-2776
DRUG TODAY,2.245,1699-3993
SOLA,2.245,1349-6476
ANIM WELFARE,2.244,0962-7286
CHEM ECOL,2.244,0275-7540
ARCH ANIM NUTR,2.242,1745-039X
MED ENG PHYS,2.242,1350-4533
CR GEOSCI,2.241,1631-0713
ECOL MANAG RESTOR,2.241,1442-7001
PHYSICIAN SPORTSMED,2.241,0091-3847
UROL CLIN N AM,2.241,0094-0143
AGRON J,2.24,0002-1962
J DYN DIFFER EQU,2.24,1040-7294
J VISION,2.24,1534-7362
ZOOLOGY,2.24,0944-2006
CHINA AGR ECON REV,2.239,1756-137X
COMPUT APPL MATH,2.239,2238-3603
FIRE TECHNOL,2.239,0015-2684
IMMUN INFLAMM DIS,2.239,****-****
COMPUT MATH METHOD M,2.238,1748-670X
CURR GENOMICS,2.236,1389-2029
J METEOROL SOC JPN,2.236,0026-1165
ADV RHEUMATOL,2.235,2523-3106
AQUACULT INT,2.235,0967-6120
ARCH MED RES,2.235,0188-4409
J AIR WASTE MANAGE,2.235,1096-2247
KYBERNETES,2.235,0368-492X
STAT PAP,2.234,0932-5026
BIOL PHARM BULL,2.233,0918-6158
INTERDISCIP SCI,2.233,1913-2751
INT J MIN MET MATER,2.232,1674-4799
COMP BIOCHEM PHYS B,2.231,1096-4959
CRYPTOGAMIE MYCOL,2.231,0181-1584
EUR J PAEDIATR DENT,2.231,1591-996X
J COMP PSYCHOL,2.231,0735-7036
J STAT MECH-THEORY E,2.231,1742-5468
