"issn","jfull","jabbr","impact"
"0301-2387","Trudy Instituta biologii","Tr Inst Biol",NA
"0373-5222","Monatsschrift fur Unfallheilkunde und Versicherungsmedizin","Monatsschr Unfallheilkd Versicherungsmed",NA
"0001-3838","Boletim (Academia Nacional de Medicina (Brazil))","Bol Acad Nac Med",NA
"0081-2471","Journal of the South African Logopedic Society","J S Afr Logop Soc",NA
"0517-0613","Journal of the American College of Neuropsychiatrists","J Am Coll Neuropsychiatr",NA
"0020-3645","Anales del Instituto Barraquer","An Inst Barraquer",NA
"0340-0239","Zeitschrift fur Zellforschung und Mikroskopische Anatomie. Abteilung Histochemie","Z Zellforch Microsk Anat Histochem",NA
"0372-901X","Zeitschrift fur induktive Abstammungs- und Vererbungslehre","Z Indukt Abstamm Vererbungsl",NA
"0372-2449","Der Tuberkulosearzt","Tuberkulosearzt",NA
"0324-427X","Tuberkulozis kerdesei","Tuberk Kerdesei",NA
"0370-6249","Rassegna di medicina industriale e di igiene del lavoro","Rass Med Ind Ig Lav",NA
"0735-7435","The Physical therapy review","Phys Ther Rev (1948)",NA
"0096-5480","Mississippi Valley medical journal (Quincy, Ill)","Miss Valley Med J",NA
"0369-0458","The Medical journal of the South-West","Med J Southwest",NA
"0368-4679","Journal d'urologie medicale et chirurgicale","J Urol Medicale Chir",NA
"0770-2728","Acta physiotherapica et rheumatologica Belgica","Acta Physiother Rheumatol Belg",NA
"0097-1006","Bulletin. Georgetown University. Medical Center","Bull Georgetown Univ Med Cent",NA
"0096-0225","Drug standards","Drug Stand",NA
"0316-4403","Canadian journal of medical sciences","Can J Med Sci",NA
"0096-6622","Archives of physical medicine","Arch Phys Med",NA
"0772-1749","Archives de stomatologie","Arch Stomatol",NA
"0365-5067","Acta psychiatrica et neurologica Scandinavica. Supplementum","Acta Psychiatr Neurol Scand Suppl",NA
"0365-5741","Acta paediatrica. Supplementum","Acta Paediatr Suppl (Upps)",NA
"0004-0509","Archivos argentinos de tisiologia y neumonologia","Arch Argent Tisiol Neumonol",NA
"0034-7531","Revista cubana de pediatria","Rev Cubana Pediatr",NA
"0017-5870","Guy's Hospital gazette","Guys Hosp Gaz",NA
"0042-0239","University of Toronto medical journal","Univ Toronto Med J",NA
"0003-4495","Shonika kiyo. Annales paediatrici Japonici","Shonika Kiyo",NA
"0301-8474","Revue du rhumatisme","Rev Rhum",NA
"0301-696X","Revista de sanidad militar","Rev Sanid Milit",NA
"0009-6873","Cincinnati journal of medicine","Cinci J Med",NA
"0037-2927","Settimana medica","Settim Med",NA
"0301-4452","Anesthesie et analgesie","Anesth Anal",NA
"0026-475X","Minerva dietologica","Minerva Dietol",NA
"0001-9488","Aerzteblatt Rheinland-Pfalz","Arztebl Rheinl Pfalz",NA
"0025-830X","Meditsinskii zhurnal Uzbekistana","Med Zh Uzb",NA
"0375-9075","Internationale Zeitschrift fur Vitaminforschung. Beiheft","Int Z Vitaminforsch Beih",NA
"0095-9618","Journal of oral surgery, anesthesia, and hospital dental service","J Oral Surg Anesth Hosp Dent Serv",NA
"0920-4334","Excerpta medica. Section 15, Chest diseases","Excerpta Medica 15 Chest Dis",NA
"0191-4324","The Osteopathic profession","Osteopath Prof",NA
"1421-4466","Fortschritte der psychosomatischen Medizin. Advances in psychosomatic medicine","Fortschr Psychosom Med",NA
"0372-042X","Toulouse medical","Toulouse Med",NA
"0026-6841","Mitteilungen aus dem Gebiete der Lebensmittel-untersuchung un Hygiene = Travaux de chimie alimentaire et d'hygiene","Mitt Geb Lebensmittelunters Hyg",NA
"1051-7472","Bulletin of gastrointestinal endoscopy","Bull Gastrointest Endosc",NA
"0365-5822","Acta psychotherapeutica et psychosomatica","Acta Psychother Psychosom",NA
"0096-5359","A.M.A. archives of dermatology","AMA Arch Derm",NA
"0365-3536","Anales del Instituto de Investigaciones Veterinarias","An Inst Invest Vet",NA
"0258-2694","Hellenike iatrike","Hell Iatr",NA
"0017-6915","Hamburger Arzteblatt","Hamb Arztebl",NA
"0020-014X","L' Information medicale et paramedicale","Inf Med Paramed (Montreal)",NA
"0485-4349","Ronenbyo. [Geriatrics]","Ronenbyo",NA
"0037-9115","Travaux de la Societe de pharmacie de Montpellier","Trav Soc Pharm Montp",NA
"0034-9623","Revista iberica de parasitologia","Rev Iber Parasitol",NA
"0371-9367","Trudy Leningradskogo sanitarno-gigienicheskogo meditsinskogo instituta","Tr Leningr Sanitarnogig Med Inst",NA
"0370-5811","Rendiconti - Istituto superiore di sanita","Rend Ist Sup Sanit",NA
"0489-3824","Boletin de la Sociedad Valenciana de Pediatria","Bol Soc Valencia Pediatr",NA
"0066-0655","Transactions - American Society of Ophthalmologic and Otolaryngologic Allergy","Trans Am Soc Ophthalmol Otolaryngol Allergy",NA
"0098-8456","Journal of the Association of Medical Illustrators","J Assoc Med Illus",NA
"0549-0650","Journal - Newark Beth Israel Hospital","J Newark Beth Isr Hosp",NA
"0033-0515","Progresos de pediatria y puericultura","Prog Pediatr Pueric",NA
"0434-0272","Giornale di biochimica","G Biochim",NA
"0566-0777","United States Armed Forces medical journal","U S Armed Forces Med J",NA
"0375-9172","[Zasshi] Tokyo Jikeikai medical journal. Tokyo Jikeikai Ika Daigaku","Tokyo Jikeikai Ika Daigaku Zasshi",NA
"0560-2076","Skin","Skin (Los Angeles)",NA
"0031-711X","Die Pharmazeutische Industrie","Pharm Ind",NA
"0385-9215","[Nihon iji shinpo] = Japanese medical journal","Jpn Med J",NA
"0097-1790","The New Orleans medical and surgical journal","New Orleans Med Surg J",NA
"0028-3746","Neumologia y cirugia de torax","Neumol Cir Torax",NA
"0025-1097","Makedonski medicinski pregled. Revue medicale macedonienne","Makedon Med Pregl",NA
"0197-002X","Journal of clinical and experimental psychopathology","J Clin Exp Psychopathol",NA
"0368-3397","Journal des praticiens; revue generale de clinique et de therapeutique","J Prat Rev Gen Clin Ther",NA
"0097-1596","The Bulletin of the Tulane Medical Faculty","Bull Tulane Univ Med Fac",NA
"0096-6738","American journal of syphilis, gonorrhea, and venereal diseases","Am J Syph Gonorrhea Vener Dis",NA
"0567-4824","Abbottempo","Abbottempo",NA
"0208-628X","Sprawozdania z czynnosci i posiedzen - Lodzkie Towarzystwo Naukowe","Spraw Czynnosci Posiedz Lodz Tow Nauk",NA
"0488-1281","Seishin igaku. Clinical psychiatry","Seishin Igaku",NA
"0028-3916","Neuropsichiatria","Neuropsichiatria",NA
"0034-3153","Refu'ah veterinarit : riv'on Histadrut ha-rof'im ha-veterinariyim be-Erets-Yisra'el","Refu Vet",NA
"0014-8261","Farmacja polska","Farm Pol",NA
"2544-8552","Farmacja polska","Farm Pol",NA
"0018-5930","Hospitalis","Hospitalis",NA
"0529-3693","Chirurgia urologica","Chir Urol",NA
"0583-337X","Sinai Hospital journal","Sinai Hosp J (Balt)",NA
"0370-8373","Schweizer Archiv fur Neurologie und Psychiatrie. Archives suisses de neurologie et de psychiatrie. Archivio svizzero di neurologia e psichiatria","Schweiz Arch Neurol Psychiatr",NA
"0096-0381","American review of tuberculosis","Am Rev Tuberc",NA
"0402-5555","Anotaciones pediatricas","Anot Pediatr",NA
"0014-3847","L' Evolution medicale","Evol Med",NA
"0034-8643","Revista de otorrinolaringologia","Rev Otorrinolaringol",NA
"0472-4674","[Ochanomizu igaku zasshi] : the Ochanomizu medical journal","Ochanomizu Igaku Zasshi",NA
"0035-6492","Rivista di psicoanalisi","Riv Psicoanal",NA
"1974-4722","Rivista di psicoanalisi","Riv Psicoanal",NA
"0025-7184","Medical digest","Med Dig",NA
"0484-3800","Remedes-Actualites","Rem Actual",NA
"0368-1459","Journal belge de medecine physique et de rhumatologie. Belgisch tijdschrift voor fysische geneeskunde en reumatologie","J Belge Med Phys Rhumatol",NA
"0366-8622","Der Deutsche Apotheker","Dtsch Apoth",NA
"0375-8540","A.M.A. archives of neurology","AMA Arch Neurol",NA
"0096-1884","IRE transactions on bio-medical electronics","Ire Trans Biomed Electron",NA
"0457-3277","The Leech","Leech (Cardiff)",NA
"0370-6125","Revista medica de Cordoba","Rev Med Cordoba",NA
"0096-6630","Archives of pediatrics","Arch Pediatr (N Y)",NA
"0301-4541","Archives internationales de physiologie","Arch Int Physiol",NA
"0514-180X","Zahnarztliche Welt, zahnarztliche Reform, ZWR","Zahnarztl Welt Zahnarztl Reform Zwr",NA
"0372-9001","Zeitschrift fur Immunitats- und Allergieforschung","Z Immunitats Allergieforsch",NA
"0484-8632","Revue des sciences medicales","Rev Sci Med",NA
"0369-7525","Omnia medica. Supplemento","Omnia Med Suppl",NA
"0098-7522","Journal - Michigan State Medical Society","J Mich State Med Soc",NA
"0032-7077","Praxis der Psychotherapie","Prax Psychother",NA
"0024-6050","The London Hospital gazette","Lond Hosp Gaz",NA
"0553-416X","Pavlov journal of higher nervous activity","Pavlov J High Nerv Act",NA
"0019-5367","The Indian journal of medicine & surgery","Indian J Med Surg",NA
"0025-7443","Medical proceedings : a South African journal for the advancement of medical science = Mediese bydraes : 'n Suid-Afrikaanse tydskrif vir die bevordering van die geneeskunde","Med Proc (Johannesb)",NA
"0510-8659","Bulletin of the World Health Organization. Supplement","Bull World Health Org Suppl",NA
"0082-125X","Szczecinskie Towarzystwo Naukowe, Wydzial Nauk Lekarskich","Szczecin Tow Nauk Wydz Nauk Lek",NA
"0070-2072","Aktuelle Probleme der Phoniatrie und Logopadie. Current problems in phoniatrics and logopedics. Problemes actuels de phoniatrie et de logopedie","Aktuel Probl Phoniatr Logop",NA
"0515-9369","Trudy - Institut normal'noi i patologicheskoi fiziologii","Tr Inst Norm Patol Fiziol",NA
"0301-3839","Anales de la Casa de Salud Valdecilla","An Casa Salud Valdecilla",NA
"1050-0952","Supplement ... to the Public health reports","Suppl Public Health Rep",NA
"0494-4755","Taehan Sanbuinkwa Hakhoe chapchi = Korean journal of obstetrics and gynecology","Taehan Sanbuinkwa Hakhoe Chapchi",NA
"0355-533X","Suomen apteekkarilehti. Finlands apotekartidning","Suom Apteenkkaril",NA
"0096-364X","Sewage and industrial wastes","Sewage Ind Waste",NA
"0138-2853","Wissenschaftliche Zeitschrift. Mathematisch-naturwissenschaftliche Reihe. Ernst-Moritz-Arndt-Universitat Greifswald","Wiss Z Ernst Moritz Arndt Univ Math",NA
"0016-5352","Gaz, woda; technika sanitarna","Gaz Woda Tech",NA
"0366-9378","Documenta de medicina geographica et tropica","Doc Med Geogr Trop",NA
"0761-1218","L'Avenir medical","Avenir Med",NA
"0365-074X","Arquivos brasileiros de medicina naval","Arq Bras Med Nav",NA
"0517-8606","Annales Nestle [English ed.]","Ann Nestle Eng",NA
"1661-4011","Annales Nestle [English ed.]","Ann Nestle Eng",NA
"0096-6703","A.M.A. archives of industrial hygiene and occupational medicine","AMA Arch Ind Hyg Occup Med",NA
"0009-3459","Chiba Igakkai zasshi. The Journal of Chiba Medical Society","J Chiba Med Soc",NA
"0367-3715","Gaceta medica","Gac Med (Guayaquil)",NA
"0483-1454","Rivista della tubercolosi e delle malattie dell'apparato respiratorio","Riv Tuberc Mal Appar Respir",NA
"0369-5700","Nosokomeiaka chronika","Nosokom Chron",NA
"0019-5421","Indian journal of otolaryngology","Indian J Otolaryngol",NA
"0250-9652","Annales Nestle. [Deutsche Aufl.]","Ann Nestle Ger",NA
"0004-0134","Archivio di ottalmologia","Arch Ottamol",NA
"0038-2299","South African journal of laboratory and clinical medicine. Suid-Afrikaanse tydskrif vir laboratorium- en kliniekwerk","S Afr J Lab Clin Med",NA
"0558-1761","St. Barnabas Hospital medical bulletin","St Barnabas Hosp Med Bull",NA
"0196-5336","Medical bulletin (Ann Arbor, Mich.)","Med Bull (Ann Arbor)",NA
"0096-9621","Archives of biochemistry","Arch Biochem",NA
"0366-0869","The British journal of tuberculosis and diseases of the chest","Br J Tuberc Dis Chest",NA
"0367-0503","Ergebnisse der Hygiene, Bakteriologie, Immunitatsforschung und experimentellen Therapie","Ergeb Hyg Bakteriol Immunitatsforsch Exp Ther",NA
"0019-1620","Igiena","Igiena",NA
"0551-1062","Pneumonologike kai phymatiologike epitheoresis","Pneumonol Phymatiologike Epitheor",NA
"0520-8734","Revista do Servico Nacional de Tuberculose","Rev Serv Nac Tubers",NA
"0304-498X","Boletin de la Sociedad Catalana de Pediatria","Bol Soc Catalana Pediatr",NA
"0375-0752","Revista de la Facultad de Ciencias Medicas","Rev Fac Cienc Med",NA
"0568-5745","Trudy - Institut fiziologii imeni I. P. Pavlova","Tr Inst Fiziol Im I P Pavlova",NA
"0360-1684","Journal of the National Association of Chiropodists","J Natl Assoc Chirop",NA
"0041-3887","Tuberkulozis es tudobetegsegek","Tuberk Tudobetegsegek",NA
"0045-0227","The Australian and New Zealand general practitioner","Aust N Z Gen Pract",NA
"0366-3159","Boletin. Sociedad de Cirugia del Uruguay","Bol Soc Cir Urug",NA
"0028-887X","Newcastle medical journal","Newcastle Med J",NA
"0987-7835","La Revue de medecine","Rev Med (Paris)",NA
"0037-9093","Bulletin de la Societe de pharmacie de Bordeaux","Bull Soc Pharm Bord",NA
"0031-7128","Pharmazeutische Rundschau","Pharm Rundsch",NA
"0428-0296","Farmatsiia","Farmatsiia (Sofia)",NA
"0043-3012","West African pharmacist","West Afr Pharm",NA
"0389-9411","Nakadori Byoin iho. Nakadori Hospital medical bulletin]","Nakadori Byoin Iho",NA
"0066-0833","Transactions of the ... Meeting of the American Surgical Association. American Surgical Association. Meeting","Trans Meet Am Surg Assoc Am Surg Assoc",NA
"0391-0466","Il Pisani : organo del Manicomio di Palermo","Pisani",NA
"1534-7354","Integrative cancer therapies","Integr Cancer Ther",3.279
"1552-695X","Integrative cancer therapies","Integr Cancer Ther",NA
"0307-6946","Ecological entomology","Ecol Entomol",2.465
"1365-2311","Ecological entomology","Ecol Entomol",NA
"0944-2502","Zentralblatt fur Arbeitsmedizin, Arbeitsschutz und Ergonomie","Zentralbl Arbeitsmed Arbeitsschutz Ergon",NA
"2198-0713","Zentralblatt fur Arbeitsmedizin, Arbeitsschutz und Ergonomie","Zentralbl Arbeitsmed Arbeitsschutz Ergon",NA
"0096-0632","International record of medicine","Int Rec Med",NA
"0891-8538","Hospital record study : a joint study by CPHA and IMS America Ltd","Hosp Rec Study",NA
"0367-5149","Gruzlica (Warsaw, Poland : 1926)","Gruzlica (1926)",NA
"0412-7994","Clinical medicine (Northfield, Ill.)","Clin Med (Northfield)",NA
"0435-2467","General cytochemical methods","Gen Cytochem Methods",NA
"0004-5373","Bulletin de l'Association des diplomes de microbiologie de la Faculte de pharmacie de Nancy","Bull Assoc Diplomes Microbiol Fac Pharm Nancy",NA
"0366-1970","Bollettino e memorie della Societa piemontese di chirurgia","Boll Mem Soc Piemont Chir",NA
"0325-089X","Boletines y trabajos - Sociedad Argentina de Cirujanos","Bol Tr Soc Argent Cir",NA
"0504-2372","Revista de Viernes Medico","Rev Viernes Med",NA
"0302-900X","Buletin i Universitetit Shteteror te Tiranes. Seria Shkencat mjekesore","Bul Univ Shtet Tiranes Ser Shk Mjekesore",NA
"0001-429X","Bulletin - Academy of Medicine of New Jersey","Bull Acad Med N J",NA
"0030-3720","Ophthalmic literature","Ophthalmic Lit",NA
"0863-0267","Zeitschrift fur Urologie","Z Urol",NA
"0562-4142","Proceedings. Society for the Study of Fertility","Proc Soc Study Fertil",NA
"0370-4173","Revue du corps de sante militaire","Rev Corps Sante Mil",NA
"0096-4174","Progress in biophysics and biophysical chemistry","Prog Biophys Biophys Chem",NA
"0555-4047","Progress in neurobiology","Prog Neurobiol (1956)",NA
"0099-7463","Bulletin. Pennsylvania Hospital (Philadelphia, Pa.). Ayer Clinical Laboratory","Bull Phila Pa Hosp Ayer Clin Lab",NA
"0368-9255","La Medecine aeronautique","Med Aeronaut",NA
"0515-930X","Trudy. Institut grudnoi khirurgii (Akademiia meditsinskikh nauk SSSR)","Tr Akad Med Nauk Sssr Mosc Inst Grudn Khir",NA
"0042-8841","Voprosy psikhologii","Vopr Psikhol",NA
"0450-2132","Khimiia i meditsina","Khimiia Meditsina",NA
"0301-6757","Rivista di medicina aeronautica","Riv Med Aeronaut",NA
"0003-4649","Annali di microbiologia ed enzimologia","Ann Microbiol Enzimol",NA
"0402-9054","Archivos de pediatria","Arch Pediatr (Barc)",NA
"0005-2523","Azerbaidzhanskii meditsinskii zhurnal = Aserbaidschanische medizinische Zeitschrift","Azerbaidzhanskii Meditsinskii Zhurnal",NA
"0390-5764","Aggiornamenti di terapia oftalmologica","Aggiorn Ter Oftalmol",NA
"0065-258X","Advances in enzymology and related subjects of biochemistry","Adv Enzymol Relat Subj Biochem",NA
"0099-3018","Report (U.S. Naval Medical Research Laboratory)","Rep U S Nav Med Res Lab",NA
"0411-6038","Ceskoslovenska biologie","Ceskoslov Biol",NA
"0146-1575","Journal of oral surgery","J Oral Surg (Chic)",NA
"0544-2656","Minerva radiologica, fisioterapica e radiobiologica","Minerva Radiol Fisioter Radiobiol",NA
"0365-2610","Sudhoffs Archiv fur Geschichte der Medizin und der Naturwissenschaften","Sudhoffs Arch Gesch Med Naturwiss",NA
"0438-6124","The Harlem Hospital bulletin","Harlem Hosp Bull (N Y)",NA
"0543-3169","Medico; Europa Ausg","Medico (Eur)",NA
"0489-6408","Nauchni trudove na Meditsinskata akademiia ""Vulko Chervenkov""","Nauchni Tr Med Acad Vulko Chervenkov",NA
"0860-8857","Polski tygodnik lekarski","Pol Tyg Lek (Wars)",NA
"0127-273X","Bulletin - Institute for Medical Research, Kuala Lumpur","Bull Inst Med Res Kuala Lumpur",NA
"0371-7364","Thoraxchirurgie","Thoraxchirurgie",NA
"0003-9373","Archiv fur Psychiatrie und Nervenkrankheiten","Arch Psychiatr Nervenkr",NA
"0860-8865","Wiadomosci lekarskie (Warsaw, Poland : 1948)","Wiad Lek Wars Pol 1948",NA
"0035-4554","Rheumatologia, balneologia, allergologia","Rheumatol Balneol Allergol",NA
"0372-7653","Yokufuen chosa kenkyu kiyo. Acta gerontologica Japonica","Yokufuen Chosa Kenkyu Kiyo",NA
"0372-9052","Zeitschrift fur Immunitatsforschung und experimentelle Therapie","Z Immun exp ther",NA
"0097-1650","International record of medicine and general practice clinics","Int Rec Med Gen Pract Clin",NA
"0017-7970","Hartford Hospital bulletin","Hartford Hosp Bull",NA
"0523-6525","Etudes neo-natales. Neo-natal studies","Etudes Neonatales",NA
"0208-5089","Biuletyn Panstwowego Instytutu Medycyny Morskiej i Tropikalnej w Gdansku. Biulleten' Gosudarstvennogo Instituta morskoi i tropicheskoi meditsiny v Gdan'ske. Bulletin of the State Institute of Marine and Tropical Medicine in Gdansk, Pola...","Biul Panstw Inst Med Morsk Trop J W Gdansku",NA
"0368-394X","Journal de radiologie, d'electrologie & archives d'electricite medicale","J Radiol Electrol Arch Electr Medicale",NA
"1519-566X","Neotropical entomology","Neotrop Entomol",1.434
"1678-8052","Neotropical entomology","Neotrop Entomol",NA
"0269-249X","Diatom research : the journal of the International Society for Diatom Research","Diatom Res",1.815
"1074-9357","Topics in stroke rehabilitation","Top Stroke Rehabil",2.119
"1945-5119","Topics in stroke rehabilitation","Top Stroke Rehabil",NA
"1516-4446","Revista brasileira de psiquiatria (Sao Paulo, Brazil : 1999)","Braz J Psychiatry",3
"1809-452X","Revista brasileira de psiquiatria (Sao Paulo, Brazil : 1999)","Braz J Psychiatry",NA
